ConstituentID,Constituent Email,class year,is admin
78c9198b-3cef-43d1-850a-c11b30e0390f,Stefan.Dietrich75@hotmail.com,2023,1OyLjvtZKGxnR
c0f274c3-328e-42fe-9226-1c0e2f8f8d61,Polly.Maggio@hotmail.com,2025,true
e4cf800d-dd2d-409c-b42d-ee32dd9535c5,xrhN1dCymiP,2024,false
1d259472-4fce-402e-8315-a593c6bab2ee,Jeff_Toy92@yahoo.com,2025,false
rSXh5vk,Keagan.Stamm@gmail.com,2023,true
bbd217f6-fd85-48cf-81b2-3ad0d3d2a7f4,Hailey_Walker63@gmail.com,2024,true
374ae991-a667-4b54-a77f-b03b38371156,Wilton_Kulas-Stark@hotmail.com,2023,false
a81f225a-e01e-4235-9c86-305657fc72f2,Dylan_Conn@hotmail.com,2025,QELqewUc7dF4H
39ce1c3d-0c8b-4549-93eb-1005a1dd797f,m9Jej7K3Wb4,2025,EPKOEb73yjAbA
826676d7-3925-407a-8386-4092aad21c13,Dedric86@hotmail.com,2025,true
TlqPIsY,Jena.Armstrong25@gmail.com,2025,false
dcb278d8-37c1-44ee-a0a8-190e8cb95430,Leonardo.Dooley92@gmail.com,2025,true
4ae3bceb-b69a-4152-92fc-bc2147032249,Bianka3@yahoo.com,2024,true
4aa0c5cf-5e67-4c84-ae76-9d2efe00a722,Simone33@hotmail.com,2023,D88KZir0NvGB5
30f126ff-655a-45bb-a74c-7d4d33bc1b85,HqpJAp8QMWq,2024,true
417fb2b7-093a-4d4a-9653-f40be2e1cec4,Andy14@hotmail.com,2023,false
4acd2aa3-3393-4d60-8e5c-ba3873cb33c2,Jeramy.Brakus47@hotmail.com,D0nEhMlgPN6G8n0e,true
a27eaeb7-4319-433d-b13e-44ce1de2f6ce,Lindsay.Cummings72@hotmail.com,2024,true
04417e6f-4f80-44bd-8d4c-ababc40fb8de,Vincenzo99@yahoo.com,2024,true
057d2ba8-3ad9-467b-99b5-b3557e3f2498,EjRmMx7IpvW,2024,true
45f184ca-2ff0-4299-86fa-fd67501292bc,Destini.Fritsch@gmail.com,2024,true
fd0e2897-a93d-4b36-b547-e5f66e1adff6,VZT3RowINr3,2024,true
a556640a-6da1-4905-af4c-b9f0a5b98646,Christelle_Cormier@hotmail.com,2025,false
cf8e26a0-b99a-4767-a649-660468ba97d5,Renee37@hotmail.com,AeTDO9jgAvKbSgiq,true
d2674245-5e31-4089-a0cb-1a6313a5436c,df0GhZuuylu,2025,false
b663c7c3-09dd-43bf-a14b-19d275260857,EvFXpy9TbX2,2025,true
387ee07b-258a-4023-a2b5-e940f5717fd7,Kristoffer52@yahoo.com,2025,true
6UV9fyL,Grace55@yahoo.com,2024,JDYy96I4usbO0
086c926a-7e41-4a4d-b02f-019eff9ff9ce,Elisha.Olson24@yahoo.com,2025,true
1e97082b-b421-4d20-a2c5-8223b4612f51,Yessenia_Reichert71@hotmail.com,2024,67GsAiUNFJe4y
e0547632-b815-41b5-b034-1accf509c2de,Zoila6@gmail.com,2023,true
f04a1928-cf3f-4ee9-ac3c-9a16cc2ef6b2,Clark.Spencer93@hotmail.com,2025,false
I3wZhCa,Darwin_Rutherford@gmail.com,2023,true
36aeb063-2f8d-4268-a64b-ac18937eb9ac,Ludie_Harvey8@yahoo.com,2025,true
b8ceab6d-bcc4-408f-9339-bc254f81bbf4,Santiago.Schuster71@gmail.com,2024,true
f43e5ae7-90d7-4a97-8543-5e86675817a9,Corrine22@gmail.com,2023,false
WoWo2V3,jTWpFpdEvVt,2025,false
25c45216-d391-405e-a9b9-beda3a05bdc2,Everette68@gmail.com,2023,zxd05c2qlz02z
db69f6f6-8798-4e17-a9c5-5fab326359b1,Blanca17@hotmail.com,2024,true
0844fb4f-5878-4106-a95d-90d54cf3d5b3,Vada.Lynch46@hotmail.com,9ZoNVgkGoX4KqEpt,false
aXHxWm5,Darrion.Metz@yahoo.com,2024,0xsFJ7rQWVBBz
ffbef549-28b4-4578-8e76-8514bbbf11ee,j8X6ZsNJTzb,2025,true
44d8ca98-135b-4557-a32a-80acf32a9152,Janessa85@gmail.com,2023,A7XarjPJQNt4o
